Q10334928,13304-62-6
Q411014,10377-60-3
Q411221,1313-99-1
Q410882,85-44-9
Q411162,12030-88-5
Q411175,83461-56-7
Q411119,75-04-7
Q411326,135319-73-2
Q411188,129722-12-9
Q410846,92-84-2
Q411320,7789-31-3
Q410981,1235-15-0
Q411126,7681-55-2
Q411041,33507-63-0
Q411305,7790-91-2
Q410938,105-57-7
Q411054,521-18-6
Q410979,7791-26-6
Q410825,3926-62-3
Q410932,78-70-6
Q4111665,133-37-9
Q411325,29122-68-7
Q410958,536-71-0
Q411159,76824-35-6
Q411240,84371-65-3
Q411281,504-70-1
Q411046,54-64-8
Q411225,13709-36-9
Q411087,23509-16-2
Q411294,7758-19-2
Q411266,7783-09-7
Q410911,62-74-8
Q411279,10025-91-9
Q410965,169148-63-4
Q411138,77-06-5
Q411317,1330-78-5
Q411260,598-63-0
Q411094,2552-55-8
Q411273,15545-48-9
Q411245,7784-34-1
Q411286,23031-36-9
Q411258,79-04-9
Q411299,55739-58-7
Q411145,10101-50-5
Q411060,7790-94-5
Q410985,1317-35-7
Q411073,123-86-4
Q411309,10043-67-1
Q411017,7789-21-1
Q411293,521-52-8
Q410829,509-86-4
Q411237,51-35-4
Q411303,114-26-1
Q410949,20675-51-8
Q411272,109-43-3
Q410836,106-24-1
Q411216,103-85-5
Q411078,58-82-2
Q411229,84625-61-6
Q411103,7681-38-1
Q411310,520-33-2
Q410915,92-52-4
Q410830,138-59-0
Q410969,29684-56-8
Q410871,126-99-8
Q411198,9005-49-6
Q4112207,57644-54-9
Q411251,5118-29-6
Q410884,56-25-7
Q411707,54-96-6
Q411484,13709-56-3
Q411330,249296-44-4
Q411456,532-03-6
Q411635,52645-53-1
Q411469,143-62-4
Q4117086,26717-47-5
Q411648,104987-11-3
Q411356,513-29-1
Q411535,522-75-8
Q411450,77-83-8
Q4115931,12037-65-9
Q411727,1918-13-4
Q411435,5915-41-3
Q4117109,41451-28-9
Q411407,163731-16-6
Q411501,407-25-0
Q411489,92-94-4
Q4117216,3164-85-0
Q411542,36734-19-7
Q4117078,14929-11-4
Q411442,918-37-6
Q411496,109-87-5
Q411342,996-31-6
Q4115352,593-95-3
Q411562,2223-93-0
Q411713,25617-97-4
Q411575,329-98-6
Q4115930,12041-50-8
Q411462,1401-69-0
Q411588,496775-61-2
Q411447,82419-36-1
Q411500,543-39-5
Q411362,107-15-3
Q4116129,60-01-5
Q411695,134-96-3
Q411720,13469-98-2
Q411582,23256-30-6
Q411347,88150-42-9
Q411441,125-29-1
Q411413,130-85-8
Q4116192,129-20-4
Q411426,61276-17-3
Q411467,16941-12-1
Q411605,506-66-1
Q411646,79-57-2
Q411687,90-01-7
Q411659,20830-81-3
Q4116990,31637-97-5
Q411461,92-13-7
Q411681,1079-66-9
Q411418,2446-83-5
Q411333,10361-79-2
Q4117076,95522-45-5
Q411638,32449-92-6
Q411594,76-38-0
Q411412,162011-90-7
Q411381,7783-70-2
Q411532,465-16-7
Q411394,1304-29-6
Q411517,138890-62-7
Q411417,15686-71-2
Q411652,13773-81-4
Q4116987,9015-73-0
Q411486,532-12-7
Q4115289,628-94-4
Q411511,117-96-4
Q411580,4676-39-5
Q411552,148016-81-3
Q411386,7446-08-4
Q411537,1239-29-8
Q4115961,533-01-7
Q411452,127-19-5
Q4116162,150-59-4
Q411424,94-36-0
Q411493,142439-86-9
Q4116467,521-04-0
Q4115321,12186-97-9
Q411352,504-64-3
Q411616,7789-68-6
Q411478,86386-73-4
Q4115959,13721-37-4
Q411629,54965-21-8
Q411337,7786-81-4
Q411557,2447-57-6
Q411457,19794-93-5
Q4115313,20619-16-3
Q411677,91-21-4
Q411523,506-93-4
Q411592,7783-77-9
Q411357,16903-35-8
Q4116993,30299-08-2
Q411602,139-85-5
Q411671,7788-98-9
Q411436,1314-87-0
Q411477,25322-17-2
Q411656,21109-95-5
Q411697,115-38-8
Q411515,83387-25-1
Q411377,165800-03-3
Q411763,12031-80-0
Q412143,28911-01-5
Q4119785,75926-26-0
Q411748,141-66-2
Q4119810,12007-99-7
Q411955,63148-62-9
Q4119851,12024-24-7
Q412197,100286-90-6
Q412043,643-13-0
Q412015,7791-03-9
Q4118279,90402-40-7
Q4119710,12024-27-0
Q411770,160970-54-7
Q412097,499-30-9
Q412122,25654-31-3
Q4119792,15501-85-6
Q412191,480-18-2
Q4119943,1303-36-2
Q412050,35121-78-9
Q412107,4498-32-2
Q411768,90-44-8
Q412189,19982-08-2
Q411806,61197-73-7
Q4118186,87129-71-3
Q4118,7664-93-9
Q411775,2636-92-2
Q412127,16662-46-7
Q411882,303-45-7
Q412068,64519-82-0
Q411754,13194-48-4
Q411905,112830-95-2
Q4119955,7047-84-9
Q412090,77-75-8
Q4119497,12067-66-2
Q4120050,12024-14-5
Q4119676,12067-76-4
Q411887,123441-03-2
Q411859,10476-85-4
Q411940,77-02-1
Q412113,333-20-0
Q4117655,270-82-6
Q412182,49763-96-4
Q411746,2634-33-5
Q411787,58066-85-6
Q411840,10108-64-2
Q412139,138-08-9
Q412082,8013-17-0
Q411853,20859-73-8
Q4119668,12039-07-5
Q411740,76-93-7
Q411781,52232-67-4
Q411932,116539-59-4
Q412133,113775-47-6
Q4119775,12143-72-5
Q412174,148553-50-8
Q411945,89-00-9
Q411917,596-51-0
Q412118,110-01-0
Q412033,76-05-1
Q411958,72-43-5
Q411732,100-55-0
Q411773,124-48-1
Q411899,70434-82-1
Q412194,36505-84-7
Q411799,1477-40-3
Q411909,53003-10-4
Q412025,101-86-0
Q411752,7783-40-6
Q411985,99755-59-6
Q412158,145-13-1
Q411844,1306-38-3
Q4118183,65776-67-2
Q412017,32534-81-9
Q411885,10025-73-7
Q4119838,27214-00-2
Q4119781,21679-31-2
Q411757,822-35-5
Q4119779,12039-83-7
Q412178,10540-29-1
Q412024,52315-07-8
Q4119804,7789-51-7
Q411864,10294-26-5
Q412078,463-77-4
Q4119858,1312-45-4
Q4119952,34946-82-2
Q411777,14519-18-7
Q4118295,12126-59-9
Q412085,7727-54-0
Q411730,950-37-8
Q412208,83915-83-7
Q411950,23184-66-9
Q4117486,495-60-3
Q4117665,25746-81-0
Q411963,992-78-9
Q412164,22316-47-8
Q412010,51630-58-1
Q411822,12340-14-6
Q411876,1314-24-5
Q411848,7758-95-4
Q412102,1082-57-1
Q412589,486-70-4
Q412435,507-70-0
Q412350,110-46-3
Q412476,504-15-4
Q412391,54-95-5
Q4122197,305-58-8
Q412376,83846-86-0
Q412291,571170-77-9
Q412734,229614-55-5
Q412706,114615-82-6
Q412276,493-52-7
Q412621,555-30-6
Q412690,357-70-0
Q412496,56-54-2
Q4124794,7790-60-5
Q412383,621-44-3
Q412534,72956-09-3
Q412327,641571-10-0
Q412270,105-54-4
Q412713,485-71-2
Q412641,74839-84-2
Q412739,20344-49-4
Q412720,71159-90-5
Q412221,4205-91-8
Q412388,83-79-4
Q412441,6923-22-4
Q412567,100-47-0
Q412413,392-56-3
Q412561,9004-82-4
Q412659,76-19-7
Q412241,509-14-8
Q412226,146-48-5
Q412361,7784-21-6
Q412694,35523-89-8
Q412333,16872-11-0
Q412666,87333-19-5
Q412346,1634-04-4
Q4124798,13587-19-4
Q412318,74-55-5
Q412538,10102-68-8
Q412340,302-17-0
Q412604,86933-75-7
Q412645,7778-44-1
Q412479,89-57-6
Q412504,18174-72-6
Q412366,373-49-9
Q412573,19783-14-3
Q412699,2438-72-4
Q412281,83-34-1
Q412460,116-14-3
Q412432,137-42-8
Q412486,315-30-0
Q412304,5329-14-6
Q412580,23525-22-6
Q412609,63-39-8
Q412260,100-44-7
Q412524,7773-03-7
Q412593,58-98-0
Q412399,25454-23-3
Q412245,74-96-4
Q412424,94-59-7
Q412299,604-75-1
Q412409,57-44-3
Q412616,180288-69-1
Q412685,220578-59-6
Q412393,75-47-8
Q412572,68890-66-4
Q412265,122-39-4
Q412293,90-64-2
Q412403,90-05-1
Q412529,158681-13-1
Q412708,917-61-3
Q412278,13463-40-6
Q412303,108-62-3
Q412429,98-01-1
Q412316,119-65-3
Q412677,147511-69-1
Q412231,20846-91-7
Q412398,13939-06-5
Q412216,12057-74-8
Q412423,66215-27-8
Q412492,13477-00-4
Q412323,174722-31-7
Q412515,66722-44-9
Q412377,108-31-6
Q412223,1397-89-3
Q412556,56-38-2
Q412236,137234-62-9
Q412597,646-30-0
Q412443,106266-06-2
Q412650,14293-70-0
Q412415,15663-27-1
Q412622,63-37-6
Q412371,463-58-1
Q412356,409-21-2
Q412701,6892-68-8
Q412328,13510-42-4
Q412742,11079-53-1
Q412491,12068-90-5
Q412727,64885-97-8
Q413135,594-27-4
Q413050,58-46-8
Q413063,5627-05-4
Q413421,77-78-1
Q412819,37342-97-5
Q413089,95737-68-1
Q412888,60202-16-6
Q412982,38078-09-0
Q413447,123-54-6
Q412747,66575-29-9
Q413127,15162-90-0
Q413488,3691-35-8
Q413334,7778-39-4
Q412967,66796-30-3
Q412939,2998-57-4
Q412882,101-81-5
Q413262,96-09-3
Q412895,66-81-9
Q412920,152923-56-3
Q413454,111-20-6
Q413426,288-47-1
Q412933,103055-07-8
Q412974,500-85-6
Q413147,14838-15-4
Q413188,55-92-5
Q412805,1271-19-8
Q413006,1461-15-0
Q412874,1302-81-4
Q413075,10380-29-7
Q413433,9003-39-8
Q4133090,56-12-2
Q413000,982-24-1
Q412994,595-39-1
Q413041,287-24-1
Q413374,7789-75-5
Q412979,96-37-7
Q413387,25721-38-4
Q412825,98-88-4
Q413481,67485-29-4
Q413105,60-81-1
Q412766,5001-33-2
Q412973,13455-00-0
Q412945,502-99-8
Q412779,141-52-6
Q412986,621-59-0
Q412958,13812-43-6
Q412845,79-43-6
Q413018,75-63-8
Q413140,7783-61-1
Q413473,25190-06-1
Q412773,106-40-1
Q413486,58-73-1
Q413166,481-06-1
Q412880,10114-58-6
Q412909,428863-50-7
Q4130924,64603-91-4
Q413411,1613-51-0
Q4132745,55837-20-2
Q413079,115-25-3
Q412931,553-90-2
Q413258,12059-95-9
Q413465,107-22-2
Q412765,188039-54-5
Q413437,288-42-6
Q413299,216974-75-3
Q412957,483-04-5
Q412803,495-69-2
Q413278,16950-06-4
Q413011,29028-02-2
Q413178,13739-02-1
Q413116,2310-17-0
Q413364,67-99-2
Q412815,142-68-7
Q413085,1321-74-0
Q413349,7783-08-6
Q413029,96-10-6
Q413471,7550-45-0
Q413098,102-09-0
Q412950,7782-91-4
Q412963,183133-96-2
Q412784,85-41-6
Q413192,21852-80-2
Q412756,491-31-6
Q413164,4111-54-0
Q412907,50471-44-8
Q413023,13693-07-7
Q413328,110-83-8
Q412835,103-23-1
Q413036,10026-10-5
Q413008,148-18-5
Q413215,20196-67-2
Q413130,253-66-7
Q413407,26134-62-3
Q412776,131807-57-3
Q413184,138729-47-2
Q413043,110-05-4
Q412814,503-05-9
Q413056,54410-57-0
Q412827,3650-09-7
Q413370,17902-23-7
Q4134920,12208-13-8
Q4134946,16941-92-7
Q4138145,51349-94-1
Q413739,299-28-5
Q413500,119-93-7
Q4138045,13864-01-2
Q4134940,12062-24-7
Q413805,5630-53-5
Q41353,1856-98-0
Q4138099,1309-33-7
Q413761,504-78-9
Q413733,13464-46-5
Q4134938,16871-90-2
Q413567,504-77-8
Q4138109,12135-23-8
Q413787,106-23-0
Q413740,472-61-7
Q4134945,16940-92-4
Q4138103,1310-97-0
Q413546,23593-75-1
Q413587,88671-89-0
Q4138116,17674-34-9
Q413559,10102-71-3
Q413540,26718-65-0
Q413512,83729-01-5
Q413581,25614-03-3
Q413525,502-42-1
Q4138123,17311-31-8
Q413566,79-37-8
Q413717,1134-47-0
Q4138108,12135-22-7
Q413532,86-88-4
Q413504,123-99-9
Q4134944,16919-73-6
Q4134929,1064-10-4
Q413793,86050-77-3
Q413586,65472-88-0
Q413611,582-25-2
Q413709,10026-04-7
Q4138043,13477-09-3
Q413624,277-10-1
Q4134910,12046-08-1
Q413552,563-96-2
Q4134964,3215-70-1
Q413524,1319-77-3
Q4138122,53-10-1
Q413703,569-58-4
Q413772,59-98-3
Q413744,220991-20-8
Q413578,12650-69-0
Q4138050,13598-33-9
Q413810,829-85-6
Q413672,477-73-6
Q413798,289-68-9
Q413616,9005-64-5
Q4134915,12285-90-4
Q413572,1074-82-4
Q413531,112-86-7
Q4134943,15702-05-3
Q413629,1633-05-2
Q413710,90-63-1
Q4138101,16469-22-0
Q4134928,13782-01-9
Q413598,721-50-6
Q4134950,16940-97-9
Q413677,306-94-5
Q413592,87-85-4
Q4138121,15785-09-8
Q4137490,657-24-9
Q4138106,12125-21-2
Q413784,15574-96-6
Q413630,539-80-0
Q413602,20007-72-1
Q413728,55268-75-2
Q4138119,13825-36-0
Q413769,33135-50-1
Q413684,116-29-0
Q4134914,51850-20-5
Q413515,106-47-8
Q413722,7783-00-8
Q4134927,17712-66-2
Q413791,92-83-1
Q4138095,12249-30-8
Q4138095,2986-54-5
Q4134934,7783-73-5
Q413591,3930-20-9
Q4138120,12626-43-6
Q413507,709-98-8
Q413491,112-79-8
Q413755,120-51-4
Q413683,334-88-3
Q4134941,16925-25-0
Q4134954,16960-53-5
Q413762,101-31-5
Q413596,141102-74-1
Q413621,3424-98-4
Q4138012,129186-29-4
Q413690,59-66-5
Q413719,1300-73-8
Q413634,27774-13-6
Q414042,78111-17-8
Q414168,75-75-2
Q413867,1328-53-6
Q414275,64-77-7
Q4138810,13721-43-2
Q413961,77-86-1
Q414162,574-93-6
Q414021,91-18-9
Q413918,26675-46-7
Q414326,1806-34-4
Q413987,7721-01-9
Q414395,120-14-9
Q414075,22967-92-6
Q4138180,13446-12-3
Q414226,244-63-3
Q413940,99393-63-2
Q414405,14040-11-0
Q414182,14694-95-2
Q413953,12027-06-4
Q414000,38966-21-1
Q414195,98-83-9
Q413994,26839-75-8
Q413840,134308-13-7
Q414013,22232-54-8
Q413979,80262-44-8
Q413894,104054-27-5
Q414359,13464-35-2
Q413879,476181-74-5
Q413904,298-04-4
Q414394,7803-55-6
Q414212,12034-12-7
Q414225,28860-95-9
Q413886,101-05-3
Q4138164,10192-30-0
Q4138814,13477-10-6
Q414317,539-21-9
Q414260,12690-20-9
Q414299,4098-40-2
Q413929,122-32-7
Q413816,89-82-7
Q414378,30544-47-9
Q414303,12018-00-7
Q414109,10485-94-6
Q414231,506-37-6
Q414357,60207-90-1
Q414203,16721-80-5
Q413864,670-54-2
Q4140494,53-70-3
Q413877,106791-40-6
Q413849,917-54-4
Q414257,490-10-8
Q414351,74150-27-9
Q414116,331-39-5
Q414157,107-97-1
Q414364,12039-88-2
Q4143336,18679-90-8
Q414308,33797-51-2
Q414057,607-91-0
Q413828,12033-89-5
Q414236,77-21-4
Q414151,11116-97-5
Q4140499,536-08-3
Q413822,305-84-0
Q413976,3605-01-4
Q414023,1836-75-5
Q414384,124-41-4
Q4142891,51-56-9
Q413835,7783-54-2
Q414102,603-32-7
Q414143,95058-81-4
Q414407,73573-88-3
Q414350,541-02-6
Q414030,4291-63-8
Q414335,131-73-7
Q413968,59-52-9
Q414250,9063-57-4
Q414015,107539-20-8
Q413855,126-30-7
Q414028,71125-38-7
Q414389,13765-24-7
Q414207,107-93-7
Q413962,105-36-2
Q414342,696-28-6
Q414035,1306-25-8
Q413919,596-01-0
Q414189,79-20-9
Q414270,347396-82-1
Q4143035,9002-61-3
Q414242,71031-15-7
Q413888,1415-73-2
Q414283,5872-08-2
Q413847,10034-93-2
Q413900,13773-23-4
Q414101,2781-85-3
Q414089,17598-81-1
Q414170,619-25-0
Q413982,12124-97-9
Q413995,13007-86-8
Q413926,135285-90-4
Q414196,109-89-7
Q414846,119914-60-2
Q414526,149-29-1
Q414567,7789-38-0
Q414413,93106-60-6
Q414439,80-15-9
Q414825,3051-09-0
Q415026,86-13-5
Q414659,34156-69-9
Q414866,7446-18-6
Q414420,111-16-0
Q414518,7631-95-0
Q414932,58-97-9
Q414794,99-83-2
Q414904,173334-57-1
Q415020,585-86-4
Q414738,68-11-1
Q414945,488-69-7
Q414860,10141-05-6
Q414779,484-20-8
Q414986,53-16-7
Q414832,12035-79-9
Q414873,75695-93-1
Q414553,107-18-6
Q414886,57-67-0
Q414732,7783-60-0
Q414440,7759-02-6
Q414745,57982-77-1
Q414632,7774-29-0
Q414673,7758-23-8
Q414909,10097-28-6
Q414824,1117-94-8
Q414560,7775-14-6
Q414809,85-68-7
Q414724,563-12-2
Q414599,7758-05-6
Q414680,7782-64-1
Q414445,24304-00-5
Q414652,7647-19-0
Q414458,107-12-0
Q4147636,113-73-5
Q414637,12054-48-7
Q414772,111-43-3
Q414537,13463-39-3
Q414480,519-74-4
Q414509,2090-05-3
Q414992,82785-45-3
Q415011,491-70-3
Q414644,12029-98-0
Q415024,106-50-3
Q414685,1314-36-9
Q414657,10025-67-9
Q414902,108-19-0
Q414529,24406-05-1
Q414915,2921-88-2
Q415003,154-87-0
Q414664,14332-21-9
Q414815,3734-33-6
Q414784,1195-79-5
Q414630,489-98-5
Q414492,90-02-8
Q414669,1344-43-0
Q414584,741-58-2
Q414430,544-97-8
Q414707,13536-84-0
Q414914,514-65-8
Q414484,5471-51-2
Q414456,1953-02-2
Q414801,473-03-0
Q414789,6358-69-6
Q414996,79-63-0
Q414607,7790-99-0
Q414469,123-01-3
Q414689,7775-41-9
Q414714,122-52-1
Q414576,620-67-7
Q414783,3483-12-3
Q414463,175591-23-8
Q414796,846-50-4
Q414501,94-62-2
Q414806,10124-36-4
Q415007,7295-85-4
Q414583,72909-34-3
Q414555,420-04-2
Q414762,269055-15-4
Q414414,96702-03-3
Q414954,115-43-5
Q414427,12012-16-7
Q414788,76-73-3
Q414606,67-47-0
Q414854,1787-61-7
Q414619,7757-93-9
Q414562,10453-86-8
Q414421,480-64-8
Q414547,54-21-7
Q414754,498-02-2
Q414462,503612-47-3
Q414767,536-33-4
Q414613,10553-31-8
Q414626,10102-18-8
Q414695,13517-11-8
Q415075,506-77-4
Q415226,7727-21-1
Q415433,835-31-4
Q415113,10138-52-0
Q415446,93-55-0
Q415418,687-47-8
Q415167,53994-73-3
Q415512,12056-07-4
Q415220,137281-23-3
Q415233,142-29-0
Q415359,106-25-2
Q415538,157-39-1
Q415039,78628-28-1
Q415039,78273-80-0
Q415259,91161-71-6
Q415438,10361-92-9
Q415353,189691-06-3
Q415118,1893-33-0
Q4154886,10121-91-2
Q415159,287714-41-4
Q415366,144494-65-5
Q415253,121-91-5
Q415238,2398-96-1
Q415304,54024-22-5
Q415081,120014-06-4
Q415358,91-12-3
Q415411,143090-92-0
Q415480,139-42-4
Q415578,60-80-0
Q415465,218-01-9
Q415311,6894-38-8
Q415173,82619-04-3
Q415324,72741-87-8
Q415032,143322-58-1
Q415199,1002-16-0
Q415378,13010-47-4
Q415403,56995-20-1
Q415111,88-85-7
Q415472,79127-80-3
Q415099,62613-82-5
Q415178,70288-86-7
Q415385,12039-19-9
Q415329,75-76-3
Q415203,91-81-6
Q415410,20062-22-0
Q415536,503-74-2
Q415398,1783-84-2
Q415103,83-32-9
Q415464,1762-95-4
Q415144,3983-19-5
Q415392,242138-07-4
Q415571,11056-06-7
Q415336,10118-90-8
Q415543,7787-39-5
Q415264,170277-31-3
Q415471,13473-90-0
Q415415,4098-71-9
Q415484,12047-27-7
Q415302,1120-53-2
Q415428,327-57-1
Q415343,185243-69-0
Q415550,7683-59-2
Q415051,133163-28-7
Q415563,57-63-6
Q415507,13517-20-9
Q415548,10361-91-8
Q415049,7778-77-0
Q415256,1304-82-1
Q415128,208-96-8
Q415489,12033-62-4
Q415335,584-85-0
Q415043,57817-89-7
Q415222,211573-15-8
Q415376,91-63-4
Q415583,554-91-6
Q415401,130693-82-2
Q415207,122039-27-4
Q415150,82657-04-3
Q415276,10016-20-3
Q415122,83799-24-0
Q415248,298-96-4
Q4154890,1431-39-6
Q41534,9005-25-8
Q415107,24356-66-9
Q415242,645-05-6
Q415421,7212-44-4
Q415519,78-59-1
Q415183,584-84-9
Q415390,931-87-3
Q415500,10025-82-8
Q415196,127-79-7
Q415347,2418-52-2
Q415526,12036-71-4
Q415190,51-17-2
Q415247,1303-58-8
Q415454,91-17-9
Q415341,6164-98-3
Q415520,7790-33-2
Q415090,63-25-2
Q415062,79-31-2
Q416120,32809-16-8
Q4161308,12069-69-1
Q415612,84-74-2
Q415945,7541-49-3
Q415625,1263-89-4
Q415804,10294-33-4
Q416005,66-71-7
Q415666,17640-15-2
Q415638,25583-20-4
Q415704,1314-80-3
Q415911,517-51-1
Q415811,7782-65-2
Q415673,18868-43-4
Q415909,11003-38-6
Q415617,68359-37-5
Q416025,59122-46-2
Q415837,82-58-6
Q415752,66104-22-1
Q416132,378-44-9
Q415793,359-83-1
Q415903,50-01-1
Q415972,3575-80-2
Q415709,58001-44-8
Q415957,446-72-0
Q416073,80621-81-4
Q4161097,12007-97-5
Q415872,10294-34-5
Q415885,506-26-3
Q416086,680-31-9
Q416058,25383-99-7
Q4161107,12045-64-6
Q415772,5836-29-3
Q4161314,509-60-4
Q415744,1744-22-5
Q415798,1414-45-5
Q416065,120-92-3
Q415698,165450-17-9
Q415877,7558-80-7
Q415723,129-00-0
Q4156948,32726-24-2
Q4161096,12228-50-1
Q415997,74050-98-9
Q415843,723-46-6
Q415677,4670-05-7
Q4161300,13462-93-6
Q415897,10124-48-8
Q415869,154-93-8
Q416108,311-45-5
Q415850,57-43-2
Q415891,12190-79-3
Q416036,123-73-9
Q4161320,158932-33-3
Q415750,109-60-4
Q416077,57-09-0
Q415791,10031-26-2
Q416102,30950-27-7
Q415970,139481-59-7
Q415663,82-89-3
Q415801,50936-59-9
Q416002,9003-05-8
Q4161095,12007-27-1
Q416128,12232-27-8
Q415996,167933-07-5
Q41576,50-36-2
Q416028,10049-16-8
Q415896,56-72-4
Q415768,343-65-7
Q416022,541-91-3
Q415862,119-44-8
Q415988,67-72-1
Q416035,592-85-8
Q4161194,13709-72-3
Q415734,54-62-6
Q416114,562-74-3
Q415775,9005-27-0
Q4161317,13092-66-5
Q415939,305-03-3
Q415619,128-62-1
Q415688,1082-88-8
Q416096,126-07-8
Q415867,29232-93-7
Q415920,26299-14-9
Q415588,41575-94-4
Q415933,120068-37-3
Q415739,25953-19-9
Q415654,14860-49-2
Q4161086,509-71-7
Q4161099,12007-23-7
Q4161303,12026-28-7
Q4156832,61939-05-7
Q416113,100-39-0
Q4161316,13466-20-1
Q415746,68497-62-1
Q415925,3211-76-5
Q416126,23726-93-4
Q415646,123-77-3
Q416054,451-13-8
Q415979,108-32-7
Q4161310,13940-38-0
Q415659,74-61-3
Q416246,13446-03-2
Q4161323,8067-24-1
Q416218,1066-40-6
Q416312,9004-67-5
Q416381,12013-56-8
Q416253,62-55-5
Q416225,1617-90-9
Q4161663,67-68-5
Q416194,15321-51-4
Q416304,590-28-3
Q4161450,17411-19-7
Q416138,480-19-3
Q416260,77-52-1
Q416232,150322-43-3
Q4162606,41542-50-1
Q416399,111-90-0
Q416160,122-34-9
Q4162396,12035-51-7
Q416393,87-68-3
Q416365,1344-95-2
Q416199,71963-77-4
Q4161662,506-63-8
Q4162488,548-64-1
Q4162500,13637-87-1
Q4161926,55510-04-8
Q416431,915-30-0
Q416265,10377-58-9
Q416237,52468-60-7
Q416444,130929-57-6
Q416416,1313-27-5
Q416331,6493-05-6
Q4162027,110070-78-5
Q4162567,13843-81-7
Q416165,594-82-1
Q4162426,13455-20-4
Q416231,1194-65-6
Q4163873,89359-21-7
Q416410,7554-65-6
Q4161974,13637-68-8
Q416451,320-67-2
Q4161654,3425-97-6
Q416285,501-30-4
Q4162034,19918-85-5
Q416310,7787-49-7
Q416298,97-93-8
Q416144,258-31-1
Q4161981,37069-07-1
Q4162487,6381-06-2
Q416277,7784-01-2
Q4164132,17685-52-8
Q4162039,467-83-4
Q4162481,2674-04-6
Q416177,13842-93-8
Q4162425,13845-17-5
Q4162494,12019-57-7
Q416271,110-71-4
Q416243,67719-69-1
Q4162033,738-99-8
Q4161666,89591-51-5
Q416435,327-62-8
Q416407,294-90-6
Q416322,684-16-2
Q4162599,37208-05-2
Q4161980,626-48-2
Q416222,110-27-0
Q416291,22398-80-7
Q416401,7789-60-8
Q416414,51012-32-9
Q4164131,17786-31-1
Q416248,7529-22-8
Q4161658,509-78-4
Q416427,16110-51-3
Q416370,141-01-5
Q4162480,4673-26-1
Q4162493,12263-33-1
Q4164129,18827-81-1
Q416421,507-25-5
Q416283,111988-49-9
Q416321,75-24-1
Q4162585,78747-50-9
Q416196,93-35-6
Q416375,64-69-7
Q4162372,32745-15-6
Q416206,100-33-4
Q4161380,152-62-5
Q4164130,19584-30-6
Q4162398,12166-28-8
Q416341,530-78-9
Q416439,302-41-0
Q416326,7783-22-4
Q416188,14215-13-5
Q416254,616-38-6
Q4161928,13682-74-1
Q416405,103818-46-8
Q416182,7789-33-5
Q416239,126-33-0
Q416446,497-76-7
Q416154,1695-77-8
Q416361,1098-97-1
Q416387,869384-16-7
Q416745,18339-16-7
Q416660,53643-48-4
Q416579,101-20-2
Q416786,3688-92-4
Q416632,83366-66-9
Q416494,140608-64-6
Q416673,124-13-0
Q416852,481-30-1
Q416978,103628-46-2
Q416699,508-44-1
Q416545,65576-45-6
Q416558,533-75-5
Q416972,628-63-7
Q416737,93-59-4
Q416473,586-06-1
Q416985,4525-33-1
Q416929,118-58-1
Q416637,7226-23-5
Q416480,10102-05-3
Q416716,16561-29-8
Q416923,534-17-8
Q416785,10102-06-4
Q416992,367514-87-2
Q4165880,538-71-6
Q416503,58-15-1
Q416572,137-26-8
Q416516,9005-49-6
Q416723,659-85-8
Q416930,17685-04-0
Q416529,864084-88-8
Q416610,20590-32-3
Q416915,57-04-5
Q416623,10028-18-9
Q416485,9002-01-1
Q416956,60-11-7
Q416871,7784-40-9
Q416969,546-89-4
Q416677,81110-73-8
Q416649,7783-33-7
Q416950,797-63-7
Q416602,124-87-8
Q416728,111-40-0
Q416643,62-50-0
Q416769,104-40-5
Q416656,13451-08-6
Q416502,13453-71-9
Q416750,563-63-3
Q416584,39562-70-4
Q416791,1668-19-5
Q416650,73145-13-8
Q416663,3396-11-0
Q416701,24219-97-4
Q416827,14521-96-1
Q416507,52-24-4
Q416921,561-07-9
Q416962,56320-90-2
Q416962,13454-78-9
Q416463,122852-42-0
Q416975,4342-03-4
Q416821,61489-71-2
Q416655,78-81-9
Q416847,63-38-7
Q416900,82354-19-6
Q416706,69049-73-6
Q416913,12135-76-1
Q416775,79-92-5
Q416690,75-78-5
Q416800,99-49-0
Q416562,315-72-0
Q416688,1317-40-4
Q416534,488-81-3
Q416713,557-04-0
Q416490,10039-54-0
Q416613,42879-41-4
Q416641,13590-82-4
Q416905,78-44-4
Q416767,3164-34-9
Q416475,111-30-8
Q416682,98-98-6
Q416861,10102-75-7
Q416626,121-14-2
Q416667,520-85-4
Q416513,60-10-6
Q416720,1314-37-0
Q416554,363-24-6
Q416595,114-90-9
Q416940,618903-56-3
Q416567,42935-17-1
Q416759,20427-56-9
Q416966,52-31-3
Q416467,22722-98-1
Q416618,5561-99-9
Q416894,10049-05-5
Q416740,13838-16-9
Q416904,10476-81-0
Q416860,1260-17-9
Q416487,67-43-6
Q416958,121-32-4
Q416760,96-88-8
Q416538,7783-03-1
Q417125,7790-21-8
Q417304,7787-52-2
Q417194,72-63-9
Q417040,2406-52-2
Q417637,25233-30-1
Q417317,160337-95-1
Q417260,24345-16-2
Q417204,60-99-1
Q417399,12069-32-8
Q417286,10290-12-7
Q417603,85-79-0
Q417465,53-19-0
Q417437,19624-22-7
Q417478,1302-01-8
Q417211,20601-83-6
Q417337,496-55-9
Q417309,13693-05-5
Q417017,22781-23-3
Q417585,538-58-9
Q417086,10045-94-0
Q417557,540-67-0
Q417403,358-71-4
Q417529,756-79-6
